window,train_start,train_end,valid_start,valid_end,segment,ic_lgb,ic_mlp,ic_stack,ic_qlib_ensemble
0,2016-01-01,2017-12-31,2018-01-01,2018-01-31,valid,-0.0018958042658956313,-0.05965182245784913,0.0034147302138492746,-0.013250682888525437
1,2016-02-01,2018-01-31,2018-02-01,2018-02-28,valid,0.08542712503636984,0.10247366386935834,0.04372329784935801,0.1441373336824152
2,2016-03-01,2018-02-28,2018-03-01,2018-03-31,valid,0.07099633692454475,0.06764243619562686,0.03777198173755884,0.0695840543306818
3,2016-04-01,2018-03-31,2018-04-01,2018-04-30,valid,0.11296634112675354,0.1543580930518795,0.06296242227757791,0.08306044489087759
4,2016-05-01,2018-04-30,2018-05-01,2018-05-31,valid,0.05870318655769738,0.03235136637212083,0.0637054610569821,0.06644088971001118
5,2016-06-01,2018-05-31,2018-06-01,2018-06-30,valid,0.0014646874232175128,-0.010114496995561505,-0.02755372592637419,-0.025634636898536782
6,2016-07-01,2018-06-30,2018-07-01,2018-07-31,valid,-0.027708499103911724,-0.02103453015867776,-0.01825281581661143,-0.015354808491171358
7,2016-08-01,2018-07-31,2018-08-01,2018-08-31,valid,0.012097179407802094,0.027677213715178468,-0.0016379310142354555,-0.01715507456044556
8,2016-09-01,2018-08-31,2018-09-01,2018-09-30,valid,0.06874205500526392,0.03589709502971807,0.0639533857154496,0.0014134396252165106
9,2016-10-01,2018-09-30,2018-10-01,2018-10-31,valid,0.07150714883710263,0.01408636370057815,0.07564744864897187,0.0010325500133303506
10,2016-11-01,2018-10-31,2018-11-01,2018-11-30,valid,0.059727604489721045,0.08956475371195226,0.025325678100996372,-0.030063441516030142
11,2016-12-01,2018-11-30,2018-12-01,2018-12-31,valid,0.02594175841876859,0.10636439213170476,0.012688995807151725,0.00455887031336584
12,2017-01-01,2018-12-31,2019-01-01,2019-01-31,valid,0.07190577240739639,0.1139662228473589,0.04222957499886405,0.0254360836247321
13,2017-02-01,2019-01-31,2019-02-01,2019-02-28,valid,-0.016218082751179447,-0.07198500864444898,-0.01704920729243893,-0.12592673306985466
14,2017-03-01,2019-02-28,2019-03-01,2019-03-31,valid,-0.026876450363156612,-0.038755630575730636,-0.007162768239535844,-0.014423882668403557
15,2017-04-01,2019-03-31,2019-04-01,2019-04-30,valid,-0.022009344669618135,-0.06899367246021904,-0.029686751258903604,-0.0804123187449645
16,2017-05-01,2019-04-30,2019-05-01,2019-05-31,valid,-0.010310077487581433,-0.07352532437203294,-0.022469173348918334,-0.04810674398772509
17,2017-06-01,2019-05-31,2019-06-01,2019-06-30,valid,0.04192454592010985,-0.02729972105680981,0.055175235036453905,0.06672671566584168
18,2017-07-01,2019-06-30,2019-07-01,2019-07-31,valid,0.04147625020434606,0.0665308019567343,0.00612942945235222,0.03339695866866077
19,2017-08-01,2019-07-31,2019-08-01,2019-08-31,valid,0.03762435601900946,-0.04661597718896018,0.03286261539684139,0.056359641578511824
20,2017-09-01,2019-08-31,2019-09-01,2019-09-30,valid,-0.0017650722427801635,0.023657931474266047,0.022081059642257376,-0.0413647081158621
21,2017-10-01,2019-09-30,2019-10-01,2019-10-31,valid,0.06682836974400996,0.039183887449480245,0.07250982488833348,0.05799996217459761
22,2017-11-01,2019-10-31,2019-11-01,2019-11-30,valid,0.03304696809561978,0.040833543035081056,0.003804481866692754,0.011758127013369065
23,2017-12-01,2019-11-30,2019-12-01,2019-12-31,valid,0.004943387053874274,-0.04619622593485484,0.004127651369088925,-0.001398525605976518
24,2018-01-01,2019-12-31,2020-01-01,2020-01-31,valid,0.06904885539376707,0.09604123978945653,0.07889167022620781,0.09887712797185057
25,2018-02-01,2020-01-31,2020-02-01,2020-02-29,valid,0.17266463454851827,0.16678715896368043,0.09199667445752593,0.02300556809204902
26,2018-03-01,2020-02-29,2020-03-01,2020-03-31,valid,0.03218722706856235,0.020674672790997,0.04124897641220439,-0.008518648617519298
27,2018-04-01,2020-03-31,2020-04-01,2020-04-30,valid,0.11291161289843084,0.1320660222619704,0.07486268894107988,0.11680780507065719
28,2018-05-01,2020-04-30,2020-05-01,2020-05-31,valid,0.05382089496458022,0.06910527069533967,0.03742005442666968,0.008713250463858832
29,2018-06-01,2020-05-31,2020-06-01,2020-06-30,valid,0.01204737376400336,0.046496928208182506,0.023751473465975736,0.029349965362708123
30,2018-07-01,2020-06-30,2020-07-01,2020-07-31,valid,-0.046186472453600955,0.037884319162877,-0.05378698837661104,0.0424740411233262
31,2018-08-01,2020-07-31,2020-08-01,2020-08-31,valid,-0.031057937907872587,0.001571994955922894,-0.040634586471949306,-0.051167076677374045
32,2018-09-01,2020-08-31,2020-09-01,2020-09-30,valid,0.03617162510671767,-0.00299468741178714,0.031365010056293795,-0.057770384415321285
33,2018-10-01,2020-09-30,2020-10-01,2020-10-31,train,0.5205199027637883,0.06951305333201771,0.5226772421696293,0.20407715005685378
34,2018-11-01,2020-10-31,2020-11-01,2020-11-30,train,0.5269771572905385,0.08096275894721226,0.5272134765492351,0.21029957829191032
35,2018-12-01,2020-11-30,2020-12-01,2020-12-31,train,0.5362500112268882,0.07717906087167835,0.5377142649448178,0.21754488101941108
36,2019-01-01,2020-12-31,2021-01-01,2021-01-31,train,0.54247103337152,0.07838515172842996,0.5429271680765648,0.2183905158113952
37,2019-02-01,2021-01-31,2021-02-01,2021-02-28,train,0.5566489273152843,0.09078061659418801,0.5650032776901552,0.22383028688792353
